county,population,website,portal,type,version,notes
Garza,5978,http://www.garzacounty.net/,,,,
Hartley,5887,http://www.co.hartley.tx.us/,,,,
Carson,5875,http://www.co.carson.tx.us/,,,,
Martin,5739,http://www.co.martin.tx.us/,,,,
Crosby,5658,http://www.co.crosby.tx.us/,,,,
Haskell,5572,http://www.co.haskell.tx.us/,,,,
Floyd,5445,http://co.floyd.tx.us/,,,,
Delta,5304,http://www.deltacountytx.com/,,,,
Hansford,5288,http://www.co.hansford.tx.us/,,,,
Wheeler,5168,http://www.co.wheeler.tx.us/,,,,
Jim Hogg,5079,http://co.jim-hogg.tx.us/,,,,
Mills,4875,http://www.co.mills.tx.us/,,,,
Crane,4670,http://www.co.crane.tx.us/,,,,
Kimble,4581,http://www.co.kimble.tx.us/,,,,
Mason,4318,http://www.co.mason.tx.us/,,,,
Fisher,3897,http://www.co.fisher.tx.us/,,,,
Reagan,3895,http://www.co.reagan.tx.us/,,,,
Hardeman,3873,http://www.co.hardeman.tx.us/,,,,
Hemphill,3827,http://www.co.hemphill.tx.us/,,,,
Knox,3796,http://www.knoxcountytexas.org/,,,,
Baylor,3754,http://www.co.baylor.tx.us/,,,,
Hudspeth,3683,http://www.co.hudspeth.tx.us/,,,,
Sutton,3619,http://www.co.sutton.tx.us/,,,,
Kinney,3594,http://www.co.kinney.tx.us/,,,,
Upton,3581,http://www.co.upton.tx.us/,,,,
Crockett,3465,http://www.co.crockett.tx.us/,,,,
Real,3464,http://www.co.real.tx.us/,,,,
Shackelford,3415,http://www.co.shackelford.tx.us/,,,,
Coke,3400,http://www.co.coke.tx.us/,,,,
Donley,3170,http://www.co.donley.tx.us/,,,,
Lipscomb,3153,http://www.co.lipscomb.tx.us/,,,,
Sherman,3072,http://www.co.sherman.tx.us/,,,,
Hall,2969,https://www.co.hall.tx.us/,,,,
Cochran,2890,http://www.co.cochran.tx.us/,,,,
Collingsworth,2802,http://www.co.collingsworth.tx.us/,,,,
Schleicher,2727,http://www.co.schleicher.tx.us/,,,,
Concho,2715,http://www.co.concho.tx.us/,,,,
Jeff Davis,2408,http://www.co.jeff-davis.tx.us/,,,,
Culberson,2228,http://www.co.culberson.tx.us/,,,,
Oldham,2131,http://www.co.oldham.tx.us/,,,,
Menard,2124,http://co.menard.tx.us/,,,,
Dickens,2054,http://www.co.dickens.tx.us/,,,,
Armstrong,2028,http://www.co.armstrong.tx.us/,,,,
Edwards,1979,http://www.co.edwards.tx.us/,,,,
Briscoe,1599,http://www.co.briscoe.tx.us/,,,,
Irion,1584,http://www.co.irion.tx.us/,,,,
Throckmorton,1407,http://www.throckmortoncounty.org/,,,,
Stonewall,1380,http://www.co.stonewall.tx.us/,,,,
Glasscock,1363,http://www.co.glasscock.tx.us/,,,,
Cottle,1346,http://www.co.cottle.tx.us/,,,,
Sterling,1239,http://www.co.sterling.tx.us/,,,,
Motley,1196,http://www.co.motley.tx.us/,,,,
Foard,1102,http://www.foardcounty.texas.gov/,,,,
Roberts,832,http://www.co.roberts.tx.us/,,,,
Terrell,776,http://www.co.terrell.tx.us/,,,,
Kent,754,http://www.kentcountytexas.us/,,,,
McMullen,748,http://www.mcmullencountytexas.us/,,,,
Borden,686,http://www.co.borden.tx.us/,,,,
Kenedy,378,http://www.co.kenedy.tx.us/,,,,
King,275,http://www.co.king.tx.us/,,,,
Loving,96,http://www.co.loving.tx.us/,,,,
